Function                                                                                                                                                                                                                  CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module          Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                            Source File       Start Address
gomp_team_barrier_wait_end                                                                                                                                                                                               1005.949s                   0.630s            984.556s                                         984.556s                                  0s                        0s                 20.762s                          20.762s                                 0s                                0s                              0s                            0s  libgomp.so.1    gomp_team_barrier_wait_end                                                                                                                                                                                                                                                                                                                                                                                                 bar.c             0x207b0      
LB::checkNewInterfaceParticles._omp_fn.0                                                                                                                                                                                  965.837s                 965.837s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::checkNewInterfaceParticles._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                   LB.cpp            0x44c320     
node::computeApparentViscosity                                                                                                                                                                                            929.976s                 929.976s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::computeApparentViscosity(double const*, FluidMaterial const&)                                                                                                                                                                                                                                                                                                                                                        node.cpp          0x460600     
std::set<unsigned int, std::less<unsigned int>, std::allocator<unsigned int>>::find                                                                                                                                       857.803s                 857.803s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::set<unsigned int, std::less<unsigned int>, std::allocator<unsigned int>>::find(unsigned int const&)                                                                                                                                                                                                                                                                                                                   stl_set.h         0x45f660     
node::solveCollision                                                                                                                                                                                                      817.921s                 817.921s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::solveCollision(double const*)                                                                                                                                                                                                                                                                                                                                                                                        node.cpp          0x460ae0     
operator*                                                                                                                                                                                                                 691.621s                 691.621s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          operator*(double const&, tVect const&)                                                                                                                                                                                                                                                                                                                                                                                     myvector.inl      0x460324     
tinyMatrix::operator+=                                                                                                                                                                                                    580.580s                 580.580s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tinyMatrix::operator+=(tinyMatrix const&)                                                                                                                                                                                                                                                                                                                                                                                  myvector.inl      0x46066c     
tVect::operator-                                                                                                                                                                                                          547.096s                 547.096s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator-(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x460e88     
tVect::dot                                                                                                                                                                                                                409.816s                 409.816s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::dot(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x460ee9     
tinyMatrix::magnitude                                                                                                                                                                                                     381.049s                 381.049s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tinyMatrix::magnitude(void) const                                                                                                                                                                                                                                                                                                                                                                                          myvector.inl      0x460740     
elmt::correct                                                                                                                                                                                                             360.179s                 360.179s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          elmt::correct(double const*, double const*)                                                                                                                                                                                                                                                                                                                                                                                elmt.cpp          0x422930     
LB::getPosition                                                                                                                                                                                                           314.498s                 314.498s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::getPosition(unsigned int const&) const                                                                                                                                                                                                                                                                                                                                                                                 LB.cpp            0x44c150     
tVect::operator+                                                                                                                                                                                                          301.070s                 301.070s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x460390     
std::ostream::operator<<                                                                                                                                                                                                  297.560s                 297.560s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream           0x4470aa     
std::ostream::operator<<                                                                                                                                                                                                  295.310s                 295.310s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream           0x4470cc     
std::ostream::operator<<                                                                                                                                                                                                  290.827s                 290.827s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream           0x447088     
tVect::dot                                                                                                                                                                                                                273.768s                 273.768s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::dot(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x460580     
tVect::operator+=                                                                                                                                                                                                         250.702s                 250.702s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+=(tVect const&)                                                                                                                                                                                                                                                                                                                                                                                            myvector.inl      0x460345     
node::store                                                                                                                                                                                                               241.661s                 241.661s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::store(void)                                                                                                                                                                                                                                                                                                                                                                                                          node.cpp          0x4610c0     
node::reconstruct                                                                                                                                                                                                         232.162s                 232.162s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::reconstruct(void)                                                                                                                                                                                                                                                                                                                                                                                                    node.cpp          0x4602f0     
div                                                                                                                                                                                                                       227.985s                 227.985s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6       div                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]         0x3a220      
tVect::operator/=                                                                                                                                                                                                         212.801s                 212.801s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator/=(double const&)                                                                                                                                                                                                                                                                                                                                                                                           myvector.inl      0x460364     
tVect::norm2                                                                                                                                                                                                              208.514s                 208.514s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::norm2(void) const                                                                                                                                                                                                                                                                                                                                                                                                   myvector.inl      0x460510     
tinyMatrix::operator*=                                                                                                                                                                                                    196.039s                 196.039s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tinyMatrix::operator*=(double const&)                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x460715     
std::ostream::operator<<                                                                                                                                                                                                  177.892s                 177.892s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream           0x43f686     
std::ostream::operator<<                                                                                                                                                                                                  177.830s                 177.830s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream           0x43fd52     
std::ostream::operator<<                                                                                                                                                                                                  176.316s                 176.316s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream           0x43f73e     
IO::exportEulerianParaviewFluid                                                                                                                                                                                           164.582s                 164.582s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          IO::exportEulerianParaviewFluid(LB const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)                                                                                                                                                                                                                                                                                          IO.cpp            0x405600     
tVect::operator-                                                                                                                                                                                                          151.462s                 151.462s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator-(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x422930     
gomp_team_end                                                                                                                                                                                                             144.379s                   3.690s            140.689s                                         140.689s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1    gomp_team_end                                                                                                                                                                                                                                                                                                                                                                                                              team.c            0x1f300      
LB::findNewSolid                                                                                                                                                                                                          137.564s                 137.564s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::findNewSolid(std::vector<node*, std::allocator<node*>>&, std::vector<elmt, std::allocator<elmt>>&, std::vector<particle, std::allocator<particle>>&)                                                                                                                                                                                                                                                                   LB.cpp            0x456c80     
std::ostream::operator<<                                                                                                                                                                                                  135.784s                 135.784s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream           0x43fa92     
func@0x4043c0                                                                                                                                                                                                             135.119s                 135.119s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          func@0x4043c0                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x4043c0     
