Function                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module           Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                            Source File     Start Address
tVect::dot                                                                                                                                                       150.886s                 150.886s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           tVect::dot(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                             myvector.inl    0x464050     
std::vector<node*, std::allocator<node*>>::operator[]                                                                                                            144.618s                 144.618s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::vector<node*, std::allocator<node*>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                       stl_vector.h    0x4632f0     
tVect::operator/=                                                                                                                                                114.998s                 114.998s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           tVect::operator/=(double const&)                                                                                                                                                                                                                                                                                                                                                                                           myvector.inl    0x463e34     
tinyMatrix::operator*=                                                                                                                                           105.459s                 105.459s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           tinyMatrix::operator*=(double const&)                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl    0x4641e5     
operator*                                                                                                                                                         56.116s                  56.116s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           operator*(double const&, tVect const&)                                                                                                                                                                                                                                                                                                                                                                                     myvector.inl    0x463e70     
std::vector<node*, std::allocator<node*>>::insert<__gnu_cxx::__normal_iterator<node**, std::vector<node*, std::allocator<node*>>>, void>                          49.398s                  49.398s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::vector<node*, std::allocator<node*>>::insert<__gnu_cxx::__normal_iterator<node**, std::vector<node*, std::allocator<node*>>>, void>(__gnu_cxx::__normal_iterator<node* const*, std::vector<node*, std::allocator<node*>>>, __gnu_cxx::__normal_iterator<node**, std::vector<node*, std::allocator<node*>>>, __gnu_cxx::__normal_iterator<node**, std::vector<node*, std::allocator<node*>>>)                          stl_vector.h    0x44f723     
tVect::norm2                                                                                                                                                      48.136s                  48.136s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           tVect::norm2(void) const                                                                                                                                                                                                                                                                                                                                                                                                   myvector.inl    0x463fe0     
tVect::operator/                                                                                                                                                  36.748s                  36.748s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           tVect::operator/(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl    0x46498e     
tVect::reset                                                                                                                                                      36.053s                  36.053s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           tVect::reset(void)                                                                                                                                                                                                                                                                                                                                                                                                         myvector.inl    0x463dc0     
std::max<double>                                                                                                                                                  27.806s                  27.806s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::max<double>(double const&, double const&)                                                                                                                                                                                                                                                                                                                                                                             stl_algobase.h  0x464327     
LB::collision._omp_fn.0                                                                                                                                           25.473s                  25.473s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           LB::collision._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                    LB.cpp          0x44bf90     
node::shiftVelocity                                                                                                                                               17.361s                  17.361s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           node::shiftVelocity(tVect const&)                                                                                                                                                                                                                                                                                                                                                                                          node.cpp        0x463e60     
cpu_relax                                                                                                                                                         16.647s                       0s             16.647s                                          16.647s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1     cpu_relax                                                                                                                                                                                                                                                                                                                                                                                                                  futex.h         0x20808      
LB::streaming._omp_fn.0                                                                                                                                           15.428s                  15.428s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           LB::streaming._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                    LB.cpp          0x44b030     
cpu_relax                                                                                                                                                         14.787s                       0s             14.787s                                          14.787s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1     cpu_relax                                                                                                                                                                                                                                                                                                                                                                                                                  futex.h         0x20650      
LB::updateMass._omp_fn.0                                                                                                                                          14.039s                  14.039s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           LB::updateMass._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                   LB.cpp          0x44b1a0     
gomp_simple_barrier_wait                                                                                                                                          11.216s                   0.211s             11.005s                                          11.005s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1     gomp_simple_barrier_wait                                                                                                                                                                                                                                                                                                                                                                                                   simple-bar.h    0x1e7fc      
LB::reconstruction._omp_fn.0                                                                                                                                      10.705s                  10.705s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           LB::reconstruction._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                               LB.cpp          0x44af90     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count                                     10.069s                  10.069s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count(unsigned int const&) const                                                                                                                                                                                                                                                                   stl_map.h       0x45cde4     
